iter	Passed	Remaining
311	32946	19852
312	33041	19740
313	33130	19625
314	33225	19513
315	33322	19403
316	33420	19293
317	33520	19184
318	33628	19080
319	33733	18975
320	33839	18869
321	33934	18758
322	34025	18645
323	34116	18532
324	34210	18421
325	34308	18311
326	34403	18201
327	34509	18096
328	34605	17986
329	34695	17873
330	34791	17763
331	34895	17657
332	35028	17567
333	35137	17463
334	35293	17383
335	35388	17272
336	35479	17160
337	35585	17055
338	35687	16948
339	35779	16837
340	35867	16724
341	35961	16613
342	36059	16505
343	36171	16403
344	36279	16299
345	36377	16190
346	36471	16081
347	36563	15970
348	36656	15859
349	36754	15751
350	36852	15643
351	36956	15538
352	37081	15442
353	37218	15349
354	37345	15253
355	37448	15147
356	37550	15041
357	37647	14932
358	37756	14829
359	37863	14724
360	37963	14617
361	38052	14506
362	38142	14395
363	38239	14287
364	38334	14178
365	38432	14070
366	38533	13964
367	38636	13858
368	38738	13752
369	38835	13644
370	38923	13534
371	39014	13424
372	39114	13317
373	39252	13224
374	39355	13118
375	39454	13011
376	39558	12906
377	39676	12805
378	39787	12702
379	39891	12597
380	39983	12488
381	40076	12379
382	40170	12271
383	40267	12164
384	40366	12057
385	40460	11949
386	40564	11844
387	40662	11737
388	40754	11629
389	40851	11522
390	40949	11415
391	41054	11310
392	41177	11211
393	41275	11104
394	41370	10997
395	41482	10894
396	41590	10790
397	41700	10687
398	41807	10582
